source_file,depends_on,module,depth
auth/session.py,auth/login.py,Authentication,1
auth/token_manager.py,auth/session.py,Authentication,1
auth/permissions.py,auth/policy.py,Authorization,1
auth/policy.py,auth/role_check.py,Authorization,1
otp/otp_generator.py,otp/otp_delivery.py,OTP,1
otp/otp_validator.py,otp/otp_generator.py,OTP,1
otp/otp_validator.py,otp/otp_delivery.py,OTP,1
payment/payment.py,payment/payment_controller.py,Payment,1
payment/payment.py,payment/payment_api.py,Payment,1
payment/payment_controller.py,payment/payment_api.py,Payment,1
payment/payment_api.py,payment/payment.py,Payment,1
payment/payment_api.py,payment/payment_controller.py,Payment,1
payment/payment_api.py,payment/payment_screen.py,Payment,1
payment/payment_screen.py,payment/payment.py,Payment,1
payment/payment_screen.py,payment/payment_controller.py,Payment,1
upi/upi_handler.py,upi/upi_validator.py,UPI,1
upi/upi_api.py,upi/upi_handler.py,UPI,1
upi/upi_api.py,upi/upi_validator.py,UPI,1
transaction/txn.py,transaction/txn_history.py,Transaction,1
transaction/txn.py,transaction/txn_limit.py,Transaction,1
account/account.py,account/balance.py,Account,1
profile/profile.py,profile/profile_update.py,Profile,1
profile/profile_update.py,profile/profile.py,Profile,1
notification/push.py,notification/sms.py,Notification,1
notification/push.py,notification/email_notif.py,Notification,1
notification/sms.py,notification/push.py,Notification,1
notification/email_notif.py,notification/push.py,Notification,1
notification/email_notif.py,notification/sms.py,Notification,1
fraud/anomaly.py,fraud/fraud_engine.py,FraudDetection,1
fraud/rules.py,fraud/fraud_engine.py,FraudDetection,1
fraud/rules.py,fraud/anomaly.py,FraudDetection,1
device/device_bind.py,device/device_trust.py,DeviceSecurity,1
device/cert_pinning.py,device/device_bind.py,DeviceSecurity,1
account/security.py,account/mpin.py,AccountSecurity,1
account/biometric_link.py,account/security.py,AccountSecurity,1
account/biometric_link.py,account/mpin.py,AccountSecurity,1
biometrics/face_id.py,biometrics/fingerprint.py,Biometrics,1
biometrics/liveness.py,biometrics/face_id.py,Biometrics,1
biometrics/liveness.py,biometrics/fingerprint.py,Biometrics,1
support/ticket.py,support/chat.py,CustomerSupport,1
support/chat.py,support/faq.py,CustomerSupport,1
payment/payment_controller.py,auth/token_manager.py,Payment,2
payment/payment_api.py,fraud/fraud_engine.py,Payment,2
upi/upi_handler.py,payment/payment.py,UPI,2
transaction/txn.py,account/balance.py,Transaction,2
transaction/txn.py,fraud/anomaly.py,Transaction,2
otp/otp_validator.py,auth/session.py,OTP,2
account/security.py,auth/permissions.py,AccountSecurity,2
biometrics/face_id.py,auth/token_manager.py,Biometrics,2
dashboard/home.py,account/balance.py,Dashboard,2
dashboard/analytics.py,transaction/txn_history.py,Dashboard,2
notification/push.py,account/account.py,Notification,2
fraud/rules.py,transaction/txn_limit.py,FraudDetection,2
device/device_trust.py,auth/token_manager.py,DeviceSecurity,2
support/ticket.py,profile/profile.py,CustomerSupport,2
auth/session.py,transaction/txn_limit.py,Authentication,3
fraud/rules.py,auth/permissions.py,FraudDetection,3
fraud/fraud_engine.py,payment/payment.py,FraudDetection,3
account/biometric_link.py,notification/sms.py,AccountSecurity,3
payment/payment_screen.py,profile/profile_update.py,Payment,3
auth/policy.py,payment/payment_controller.py,Authorization,3
dashboard/widgets.py,account/statement.py,Dashboard,3
transaction/txn.py,upi/upi_handler.py,Transaction,3
device/device_bind.py,auth/session.py,DeviceSecurity,3
account/biometric_link.py,profile/profile_update.py,AccountSecurity,3
payment/payment_controller.py,upi/upi_handler.py,Payment,3
payment/payment_screen.py,notification/sms.py,Payment,3
dashboard/home.py,fraud/anomaly.py,Dashboard,3
notification/sms.py,transaction/txn.py,Notification,3
transaction/txn_limit.py,auth/login.py,Transaction,3
account/statement.py,auth/policy.py,Account,3
payment/payment.py,account/mpin.py,Payment,3
dashboard/widgets.py,dashboard/home.py,Dashboard,3
fraud/rules.py,biometrics/fingerprint.py,FraudDetection,3
payment/payment_screen.py,device/device_trust.py,Payment,3
payment/payment_controller.py,notification/email_notif.py,Payment,3
notification/sms.py,payment/payment_controller.py,Notification,3
auth/permissions.py,support/faq.py,Authorization,3
device/device_bind.py,fraud/rules.py,DeviceSecurity,3
account/security.py,otp/otp_delivery.py,AccountSecurity,3
dashboard/widgets.py,support/chat.py,Dashboard,3
payment/payment_screen.py,otp/otp_validator.py,Payment,3
auth/permissions.py,dashboard/home.py,Authorization,3
account/balance.py,auth/policy.py,Account,3
fraud/anomaly.py,payment/payment_api.py,FraudDetection,3
auth/token_manager.py,device/device_trust.py,Authentication,3
auth/policy.py,biometrics/fingerprint.py,Authorization,3
dashboard/widgets.py,upi/upi_validator.py,Dashboard,3
otp/otp_generator.py,support/chat.py,OTP,3
upi/upi_validator.py,otp/otp_validator.py,UPI,3
upi/upi_handler.py,support/chat.py,UPI,3
account/balance.py,profile/kyc.py,Account,3
dashboard/analytics.py,device/device_bind.py,Dashboard,3
auth/token_manager.py,transaction/txn_limit.py,Authentication,3
